fitnessAlphaWolf,fitnessBetaWolf,fitnessGammaWolf
0.03121189404422897,0.04175907518759799,0.06541795192174148
0.024157454613559854,0.0646605681385799,0.07016778858520877
0.012973674926725303,0.03282409122258966,0.05410292422261363
0.02002110839166338,0.033627575151068144,0.04843372091116079
0.014900587999175527,0.04366107981813008,0.04862742671831565
0.0100478698822338,0.03510616341224637,0.037382312667935874
0.07926100722929696,0.10477505249224547,0.15246066250021603
0.01568708799473341,0.01610793252511989,0.019979791871928224
0.03167982026731807,0.057646175495285785,0.07063879064992623
0.01339433325768278,0.03454647684263275,0.046456556668138145
0.013789966588781595,0.0328813625543727,0.05258752634172975
0.01329705997946153,0.01948729987508513,0.02984503763407551
0.02502065983961593,0.04101368768424942,0.04200198775192924
0.013932045501340643,0.029747737633638402,0.04991890178989175
0.041303409993061396,0.10507608526749578,0.11723787826434309
0.005895343857744893,0.013154808259035604,0.013670029978885443
0.010210575791871212,0.03346251265032661,0.053495173654751454
0.008773295215249029,0.015945197023253966,0.02066170386755712
0.00771219045610745,0.010656651550945254,0.02182807186008063
0.020969367865584978,0.03146960014137367,0.03993937669665133
0.03360098797933747,0.0487967689355314,0.06410723681879835
0.032352250145338886,0.10713543795572117,0.13697146936384416
0.06391575042315746,0.09353894034090783,0.1216840618132633
0.03326073243299236,0.06126513155667374,0.09669227657092154
0.021195523864135306,0.03423934351761326,0.03951943767753667
0.007816059646598176,0.009707009498531864,0.009836909123949468
0.03221286579469059,0.08095569755210229,0.0949319993226702
0.009594651547378192,0.03207772514410561,0.03722286056393291
0.018121674897649643,0.03864761006495174,0.04581466987479599
0.01347599497918515,0.016229308241670976,0.020530831868396018
0.0162531415748697,0.04093605444744986,0.046411981196378266
0.013015383259823071,0.03758167676047235,0.04781610855681422
0.032454762645799405,0.09887857484728103,0.11412477311025902
0.009790971403075128,0.010432272762312822,0.021558291861809936
0.00782445438343757,0.010278515186038801,0.011714133302829
0.031950887643535805,0.053307342625180096,0.05832665153513673
0.026229075845674417,0.06421278778846878,0.0846445315918539
0.049525700222488686,0.11118231891790636,0.12389755070145428
0.050776365292191754,0.09164756235744881,0.14345581169009783
0.020822899967837212,0.030371487805316767,0.04706366271142827
0.033187531787265745,0.046485075208829024,0.06687978707850745
0.010135245610761349,0.01554815234046402,0.018605560668553275
0.051161787503980906,0.09528749996535715,0.12126421443311558
0.015179984899471638,0.02373081898582251,0.036307795767264645
0.009756363154743378,0.011557790446093267,0.018408894001226042
0.029924915808179325,0.04634781270821238,0.06220052053850472
0.01924064989132973,0.04959905099072736,0.0917155123573431
0.04647812520879781,0.14939373726925986,0.1522681866400083
0.020554874968251202,0.03102584780112228,0.0459099627062454
0.030151094766729503,0.04607502520698691,0.061769931661271524
