fitnessAlphaWolf,fitnessBetaWolf,fitnessGammaWolf
0.013911629978512271,0.01610299157571774,0.02210473985830717
0.012960566593466007,0.013766669978736176,0.020669739867505612
0.009686727305263215,0.03266673764675168,0.0414706937441703
0.005974254384035195,0.008867390453099238,0.01344881497922713
0.09858956194359954,0.15243956318316515,0.15322724976399335
0.03190745014334066,0.03215777579386655,0.04448314324032193
0.009382517540829045,0.009961066640727427,0.014145679978150761
0.05415787524329822,0.09005333386797076,0.09510440665454485
0.013140774979702926,0.017052749903686885,0.02138609186291375
0.01644842997459396,0.021492855862229383,0.0321090001442461
0.0061757280681806435,0.010085561878498472,0.011889393979328236
0.016505774906776172,0.04835242091336152,0.055979951857258126
0.019899431872443335,0.03566913766023962,0.038250143409044174
0.09309299947422237,0.15298636805313598,0.15938580104564834
0.010384000034877956,0.035066688475913016,0.03986693767909778
0.031042175139453516,0.09796401604170876,0.13982531312663377
0.010883923781181392,0.013364393984282491,0.02120355986408379
0.008126209502648366,0.031570375141826396,0.033936027782467834
0.014475174918244904,0.0366602767854139,0.046799787800689156
0.006319557892695589,0.009832952355346758,0.012207636404639578
0.013707741589245996,0.014045264978305862,0.02116797186431191
0.020560679868204694,0.0314452751412644,0.041185976662906895
0.01350396659039691,0.03553111014931286,0.06376075480532029
0.026658855829114987,0.029231700131320155,0.04130039888203179
0.07654554366460484,0.14834775066482747,0.33095874104124157
0.02313793985168429,0.02992496263443456,0.04444098768590749
0.020189875870581575,0.030053537635012173,0.04210737663796534
0.03164335014215423,0.11415642761378098,0.11751133345000764
0.01319651659213337,0.04453132101679558,0.04683099063092107
0.017622366567136383,0.04345936549025699,0.062349787403019385
0.00600335613841176,0.01353852492353506,0.014175879978104116
0.02317467585144881,0.032195875144636385,0.062260380553175655
0.009375504737490362,0.02042865986905095,0.030470537636885498
0.01202259094947259,0.03218023764456614,0.056458306718152655
0.01213165155589951,0.03584636266103579,0.04313641955848581
0.012673378830446346,0.029483637632451955,0.046490464289604835
0.013357459979368234,0.01660587490621081,0.02100954786532742
0.01403922497831519,0.0168787665713362,0.02433759984399439
0.043753725196558735,0.09965221917388986,0.10580608119646297
0.03338953764999878,0.07490045504133681,0.08911698386241176
0.013950889978451632,0.018883149893348872,0.022858975853472463
0.012951033260186517,0.044329576577812196,0.05325812208317141
0.013170974979656278,0.020215131870419678,0.03911460017571799
0.017691483233412682,0.025230589961029146,0.031029499160056692
0.01745791656806519,0.03386295463891291,0.06574525918506198
0.049195532001650284,0.06307348925037404,0.07152827540496211
0.017158808236421207,0.040132187535998814,0.04803926536628283
0.010626247591376207,0.02059397186799129,0.031064762639554988
0.02184758785995553,0.03512008765777309,0.03630797679495037
0.032637200146618986,0.09874267484749091,0.10239468793555545
