fitnessAlphaWolf,fitnessBetaWolf,fitnessGammaWolf
0.01739475823508857,0.03188465469246389,0.050961093484746686
0.006076110524353172,0.007466819028174984,0.012260378829059154
0.006530545611925685,0.008230438073805519,0.009415863667989799
0.09502349946372496,0.10363112144937651,0.11956094980008018
0.007504457123315068,0.007914557892180396,0.012902174927129133
0.006177407015548523,0.007994476169658076,0.009980833366857123
0.014124824920223666,0.03320954354548911,0.048444622708628406
0.09395223135470067,0.09449618696670091,0.12197204979604853
0.0341700879639324,0.08746355975037784,0.09668651704604872
0.016275783241408485,0.0417400210923538,0.05752437470058472
0.01202259094947259,0.032293175145073495,0.04347740343106334
0.01965296655566765,0.02031959986975003,0.021344604967031392
0.03464575015564218,0.05292281271373937,0.09865808036539905
0.012124500040723974,0.016298742814699913,0.022714327854399672
0.05796990954191281,0.0765296052353347,0.09335831964992852
0.010747833369433336,0.013263085679747811,0.03331308764965534
0.009384190451753458,0.013000560649727108,0.020088851871229142
0.013626239978953082,0.016837058238238434,0.019692791873767913
0.021368966545975768,0.04812357647511171,0.06436732947631882
0.010705866638787922,0.012402515193172928,0.0332391917869346
0.010770285686239217,0.014852803080190876,0.020103775871133482
0.04234224329827436,0.08851696783336124,0.09705351637370187
0.008944114262423255,0.010426015186534226,0.025800151834619336
0.015447272779157285,0.033556337650748114,0.05499638735641221
0.038635565620833326,0.10748423825167164,0.11786252480835492
0.012760090951949717,0.03979743767878556,0.07597656576493868
0.04115887666364046,0.09433285635150764,0.10729621455799222
0.015510733245729455,0.020316294968619707,0.02192105985948457
0.035877637661176284,0.06521543585520091,0.09267890529026224
0.04275292519206276,0.0963819994556465,0.11550367482160338
0.0068965561381232506,0.008019809502925438,0.01718983997344879
0.010746939430036396,0.04560416270487162,0.07963630728126678
0.06574459822034719,0.09523978363129632,0.10284644933963256
0.05161947638048053,0.11741193683713258,0.12409581462258966
0.007426543857250308,0.008492457120742253,0.014998829976832995
0.02420787584482593,0.05936690026669919,0.10823751196919039
0.016459428528567188,0.02201951522547467,0.024804835840999375
0.02967809580976146,0.043100425193623865,0.04590438764629444
0.02826031581884952,0.03614868766239395,0.09068864198957667
0.03659348766439217,0.08876754375420451,0.10706113396894434
0.006001677191043882,0.010128266640292028,0.013303854979451035
0.013181544979639952,0.019944203872156348,0.03247908764590868
0.021962387859219654,0.031572112641834196,0.034880710166918655
0.042164587747527786,0.057385244403661585,0.11401568685630664
0.013753257621952248,0.03470482515590756,0.04340293568877628
0.008131999978823764,0.012853060649231682,0.03620776266265935
0.011099151552431533,0.03453455015514262,0.06018169383250496
0.01138878791704073,0.033007287648281564,0.0577437141353505
0.01198683337359491,0.013048838061258105,0.02526862783802644
0.021901543859609667,0.03471811017132011,0.036155637662425175
