fitnessAlphaWolf,fitnessBetaWolf,fitnessGammaWolf
0.015999204975287833,0.026650819829166495,0.029881041497899975
0.008886668418182189,0.011112647590109591,0.01170613640295513
0.02465903984193394,0.0353129501586395,0.04543164321464681
0.04013208780254591,0.05082509074048432,0.051668014384803625
0.017844424972437725,0.022977716536889622,0.027415387824265565
0.00880297140564794,0.011623893978436469,0.057686865105130145
0.038801850174312986,0.0422739517290212,0.05600365403958219
0.038059937670980024,0.10686354507363195,0.10908548483901606
0.03252301023073968,0.08006266572066251,0.11991443682325037
0.01776972733241253,0.0345293376551192,0.039233452843106
0.024413367843508713,0.031302800140624344,0.04455540990503241
0.06859997530817775,0.11914466231597987,0.12364522768766284
0.016954279973812634,0.025526927836370717,0.03804777517092539
0.014429891585167328,0.059059739027371626,0.060390842809713435
0.01448232491820452,0.015537144976001524,0.031308255799312026
0.024306603844193073,0.03213332514435539,0.045269043219048274
0.01394903034988254,0.03291867514788348,0.04360282278649415
0.017263829973334508,0.02098199586550403,0.026018849853046786
0.014105664978212567,0.015156808247728406,0.03742479976010458
0.01575911497565867,0.03237519981714642,0.03454845015520506
0.1405734747649448,0.1719343132705318,0.1850637012141078
0.033104587648718674,0.08485505048041256,0.12187388405688612
0.023292316535112774,0.02392292996304894,0.024929967840197274
0.020874083866195752,0.03691492516583619,0.060881653907538705
0.02199627280115418,0.035641337660114736,0.054618581821909436
0.03615042516240176,0.11141451609892304,0.15147187476669707
0.03759255016888034,0.0913427338756258,0.09545050932043882
0.007220592980123849,0.010853523781260555,0.018343636425249277
0.09584233017998356,0.14506851830487885,0.15663862411532464
0.054745009629208224,0.08057940576314265,0.10835526311850095
0.015044129976763024,0.02180281586024252,0.04778472521466756
0.017030534973694854,0.0224617678560186,0.040038950179870525
0.028134060700557764,0.03549365015945127,0.04220361310246913
0.008110285693166023,0.0095649631548052,0.014540818230658127
0.015754584975665665,0.020096266553163915,0.0502885653053961
0.013157000044191952,0.07108981281936308,0.08414066049539237
0.068177148178643,0.07870546609423235,0.09340581197285457
0.026631303829291596,0.03866632517370416,0.04724847893100262
0.021052023865055145,0.058174975261344596,0.08868041236322895
0.1766846650883815,0.29274772451049175,0.5066404226626547
0.05535325405718799,0.07477005655227607,0.09365096939867587
0.03948990017740398,0.09710320688440761,0.10046884055097124
0.020943541548378544,0.04759060982287201,0.06960046147037909
0.01390790913762321,0.03226537514494861,0.05441633036169669
0.04733767649638537,0.08992894733572636,0.13237238890145853
0.017965566565198005,0.02304724785226563,0.025348369960847227
0.01711709990332344,0.0175560149728832,0.02100725186534214
0.018186024897286202,0.047759232040529766,0.09753656234828888
0.007752723789335232,0.00967957579008768,0.027469343823919707
0.01685790914753172,0.04307436269350677,0.06087825021094647
